AC-No.,Time,Exception
16,9/2/2023 12:53 AM,Invalid
16,9/3/2023 12:41 AM,FOT
16,9/3/2023 1:00 AM,FOT
33,9/1/2023 12:40 AM,OK
33,9/1/2023 5:33 PM,OK
33,9/2/2023 12:39 AM,OK
33,9/2/2023 5:28 PM,FOT
33,9/3/2023 12:38 AM,FOT
33,9/4/2023 5:26 PM,OK
33,9/5/2023 12:32 AM,OK
33,9/5/2023 5:25 PM,OK
33,9/6/2023 12:31 AM,OK
33,9/6/2023 5:24 PM,OK
33,9/7/2023 12:34 AM,OK
33,9/7/2023 5:23 PM,OK
54,9/1/2023 5:50 PM,OK
54,9/2/2023 12:48 AM,OK
54,9/2/2023 5:48 PM,FOT
54,9/3/2023 12:51 AM,FOT
54,9/4/2023 5:44 PM,OK
54,9/5/2023 12:51 AM,OK
54,9/5/2023 5:41 PM,OK
54,9/6/2023 12:51 AM,OK
54,9/6/2023 5:47 PM,OK
54,9/7/2023 12:47 AM,OK
54,9/7/2023 5:43 PM,OK
55,9/1/2023 12:14 AM,Repeat
55,9/1/2023 12:14 AM,OK
55,9/1/2023 5:45 PM,OK
55,9/1/2023 5:45 PM,Repeat
55,9/2/2023 12:18 AM,OK
55,9/4/2023 5:40 PM,OK
55,9/5/2023 12:17 AM,OK
55,9/5/2023 5:27 PM,OK
55,9/6/2023 12:15 AM,OK
55,9/6/2023 5:43 PM,OK
55,9/7/2023 12:15 AM,Repeat
55,9/7/2023 12:15 AM,OK
55,9/7/2023 5:40 PM,OK
78,9/1/2023 12:57 AM,OK
78,9/1/2023 5:24 PM,OK
78,9/2/2023 12:30 AM,OK
78,9/2/2023 5:24 PM,FOT
78,9/3/2023 12:34 AM,FOT
78,9/4/2023 5:29 PM,OK
78,9/5/2023 12:30 AM,OK
78,9/5/2023 5:24 PM,OK
78,9/6/2023 12:38 AM,OK
78,9/6/2023 5:20 PM,OK
78,9/7/2023 12:30 AM,OK
78,9/7/2023 5:32 PM,OK
79,9/1/2023 5:42 PM,OK
79,9/2/2023 12:53 AM,OK
79,9/2/2023 5:35 PM,FOT
79,9/3/2023 1:00 AM,FOT
79,9/4/2023 5:38 PM,OK
79,9/5/2023 12:51 AM,OK
79,9/5/2023 5:38 PM,OK
79,9/6/2023 12:58 AM,OK
79,9/6/2023 5:43 PM,OK
79,9/7/2023 12:51 AM,OK
79,9/7/2023 5:29 PM,OK
80,9/1/2023 12:59 AM,OK
80,9/1/2023 5:39 PM,OK
80,9/2/2023 1:00 AM,OK
80,9/2/2023 5:36 PM,FOT
80,9/3/2023 1:00 AM,FOT
80,9/4/2023 5:42 PM,OK
80,9/5/2023 1:55 AM,OK
80,9/5/2023 5:36 PM,OK
80,9/6/2023 1:03 AM,OK
80,9/6/2023 5:37 PM,OK
80,9/7/2023 12:51 AM,Invalid
80,9/7/2023 4:34 AM,OK
80,9/7/2023 5:38 PM,OK
112,9/1/2023 5:43 PM,OK
112,9/1/2023 11:00 PM,OK
112,9/2/2023 5:41 PM,FOT
112,9/2/2023 11:00 PM,FOT
112,9/4/2023 5:42 PM,OK
112,9/4/2023 11:04 PM,OK
112,9/5/2023 5:26 PM,OK
112,9/5/2023 11:00 PM,OK
112,9/6/2023 5:42 PM,OK
112,9/6/2023 10:59 PM,OK
112,9/7/2023 5:41 PM,OK
112,9/7/2023 10:59 PM,OK
115,9/1/2023 12:47 AM,OK
115,9/1/2023 5:36 PM,OK
115,9/2/2023 12:40 AM,OK
115,9/2/2023 5:44 PM,FOT
115,9/3/2023 12:53 AM,FOT
115,9/4/2023 5:39 PM,OK
115,9/5/2023 12:36 AM,OK
115,9/5/2023 5:46 PM,OK
115,9/6/2023 12:58 AM,OK
115,9/6/2023 5:26 PM,OK
115,9/7/2023 12:36 AM,OK
115,9/7/2023 5:41 PM,OK
447,9/1/2023 12:31 AM,OK
447,9/1/2023 5:24 PM,OK
447,9/2/2023 12:29 AM,OK
447,9/2/2023 5:24 PM,FOT
447,9/3/2023 12:34 AM,FOT
447,9/4/2023 5:29 PM,OK
447,9/5/2023 12:29 AM,OK
447,9/5/2023 5:24 PM,OK
447,9/6/2023 12:38 AM,OK
447,9/6/2023 5:20 PM,OK
447,9/7/2023 12:29 AM,OK
447,9/7/2023 5:32 PM,OK
551,9/1/2023 12:45 AM,OK
551,9/1/2023 5:39 PM,OK
551,9/2/2023 12:46 AM,OK
551,9/2/2023 5:37 PM,FOT
551,9/3/2023 12:47 AM,FOT
551,9/4/2023 5:40 PM,OK
551,9/5/2023 12:45 AM,OK
551,9/5/2023 5:39 PM,OK
551,9/6/2023 12:44 AM,OK
551,9/6/2023 5:47 PM,OK
551,9/7/2023 12:45 AM,OK
567,9/1/2023 12:30 AM,OK
602,9/1/2023 12:33 AM,OK
603,9/1/2023 12:52 AM,OK
603,9/1/2023 5:44 PM,OK
603,9/2/2023 12:46 AM,OK
603,9/2/2023 5:38 PM,FOT
603,9/3/2023 12:46 AM,FOT
603,9/4/2023 5:49 PM,OK
603,9/4/2023 9:30 PM,Invalid
603,9/5/2023 5:38 PM,OK
603,9/6/2023 12:46 AM,OK
603,9/6/2023 5:37 PM,OK
603,9/7/2023 12:47 AM,OK
603,9/7/2023 5:44 PM,OK
635,9/1/2023 12:39 AM,OK
635,9/1/2023 5:20 PM,OK
635,9/2/2023 12:38 AM,OK
635,9/2/2023 5:39 PM,FOT
635,9/3/2023 12:39 AM,FOT
635,9/4/2023 5:25 PM,OK
635,9/5/2023 12:32 AM,OK
635,9/5/2023 5:44 PM,OK
635,9/6/2023 12:30 AM,OK
635,9/6/2023 7:57 PM,OK
635,9/7/2023 12:31 AM,OK
635,9/7/2023 5:25 PM,OK
651,9/1/2023 12:31 AM,OK
651,9/1/2023 5:22 PM,OK
651,9/2/2023 12:29 AM,OK
651,9/2/2023 5:32 PM,FOT
651,9/3/2023 12:34 AM,FOT
651,9/4/2023 5:36 PM,OK
651,9/5/2023 12:29 AM,OK
651,9/5/2023 5:30 PM,OK
651,9/6/2023 12:29 AM,OK
651,9/6/2023 5:33 PM,OK
651,9/7/2023 12:29 AM,OK
651,9/7/2023 5:24 PM,OK
